tweets,label
Transportation Sec. Arthur Tugade says MRT3 General Manager Rodolfo Garcia is infected with COVID-19 and is current… https://t.co/cFZNMR45qg,-1
"Sources said a personnel from the MRT's Safety and Security unit died of COVID-19, while a ranking official has also tested positive.",-1
"What happend to the flu? Its gone right. Social distancing and wearing masks, avoiding schools basically killed it… https://t.co/PE6gMNbH7d",-1
"So, can we move on now? May UK variant na ng COVID-19 sa Pilipinas at incompetent parin ang gobyerno. Focus tayo sa… https://t.co/Pad3oAbhPg",-1
"Also, I feel like it’s adding to the stigma. Just think about it - Pag nag positive ka ba sa Covid, would you proudly post it as well?",0
I don’t really get why people would post their negative Covid results in social media. Is it to expect public gathering posts right after?,0
I just finished the 220 episodes of @Naruto_Anime_EN #anime Part 1 since this COVID-19 crisis started. I'm proud of… https://t.co/RnF406XD32,1
Whole fam tested negative in the covid test. 💯 we got one for travel purposes not bcos we were exposed or anything.,1
@mrkgbrl26 Covid yan,-1
"@gmanews napaisip ako bigla, papano nakapaglakbay si covid from nose to anus sorry 😁😅😆🤣😂🙉",0
"Mabilis umano kumalat o maka-hawa ang Covid-19 UK variant.

Ang dalangin namin ay mas mabilis makahawa at kumalat a… https://t.co/t3Kf8soR4p",-1
Plsss naman covid matapos kana...,-1
"i realized na once a month lang pala nakakalabas si izza since march ‘20 lockdown tas 1st time was nov 22, 2020 pa… https://t.co/8SWR3OwRRO",0
"Sorry aken, di ko naman napansin na nakaearphone yung guest “ano yan bat ganyan?” Sumagot naman ako “covid protocol mam” 🤦🏻‍♀️🤦🏻‍♀️🤦🏻‍♀️",-1
"“You cannot take the board exam without your cases” 

Aaaaaa covid alis ka na pls pagraduate-in mo naman kami on ti… https://t.co/K5JBTsuecT",-1
@kimpoyfeliciano covid? ano yun? .. ingit much.. saya naman dyan,0
PIPIRMAHAN NIYO LANG YUNG SAHOD NILA GAGO BA KAYO NUNG DECEMBER PA YUN??? ANO DI NIYO PAPASAHURIN 2 MONTHS? ANO THA… https://t.co/Fj3JNGhYK1,-1
tamang drama na naman huhu andami kong namimiss na tao esp my friends na hindi ko pa nakikita ng dahil sa covid :3… https://t.co/bF3CLJHO6H,-1
@demideiss fuki nya baka yung album nya sagot sa covid,0
Being a superhero means having the ability to spread happiness while shopping and wearing red and blue tights! Happ… https://t.co/MoiJ1eQj8v,1
Agree! Luma na yang issue na dapat Covid lang ang inaatupag ng gobyerno. Balance! https://t.co/l6tWEWhULY,0
"laplap now, covid latur https://t.co/DPibIcDDBK",-1
ganun na pala 'yon pag may lagnat matic covid tanginang 'yan,-1
requote ko lang update hindi ko na natuloy yung exercise at hindi na ako nakakapagcheck up since nakaquarantine na… https://t.co/waaIB7s6jR,-1
This is a working house.. work from home kme parehas ng kapatid ko... efficient but it's becoming tedious... nawawa… https://t.co/Xfzt4Nftzv,-1
It never fails to spread good vibes when you do superhero shopping! Bringing fun &amp; cheer while buying - a hero's br… https://t.co/9WUPkS0tUL,1
A guidance note How to Improve #Education in the #AsiaandthePacific during #COVID19 was published today by… https://t.co/oQlhr9smur,0
"COVID-19 SA PILIPINAS as of January 22, 2021 | via DOH 🇵🇭😷 https://t.co/QKWPHul2tB",0
Spidey's bringing fun and cheer at his #NewYear2021 visit at Estancia! Because Spidey is simply everyone's favorite… https://t.co/DRGcsQxQnU,0
May COVID-19 test ba muna before turukan ng vaccine??,0
"An outdoor walk and some @Starbucks
refreshments will sure make Spidey a happy superhero! Our webhead's… https://t.co/5lKWxG8Bd6",0
The National Task Force against COVID-19 Coordinated Operation to Defeat Epidemic (CODE) Team visits Manila to asse… https://t.co/lSoiFMbu7Q,0
"@dalawatayo Higher debt, but under perfoming vs covid.",-1
"oh no! Only, we need stayed at home. that's why we are not allowed to go outside. But, please covid-19 will be end.… https://t.co/3Im7w1y587",-1
"Wow the government really like to keep the incompetence going, keeping the likes of Duque and Magalong at the helm… https://t.co/fVIad21t3F",-1
JUST IN: The National Task Force (NTF) Against COVID-19 turns down the resignation of Baguio City Mayor Benjamin Ma… https://t.co/JT8l3Vf0B6,0
Pag balik ko may covid na ren ako ahhaha,-1
Covid is no joke!!,0
@Rxtepen Lol. Malamig kasi dyan nuon. That’s an old photo. Right before COVID. Haha,0
4years na kita kasama wala muna gala may covid😂🥺 @Cherbindolores2 https://t.co/S35GrPBYne,0
"FREE SWAB TESTING

Hangad po ng Pamahalaan Lungsod na tuluyang mapigilan ang pagkalat ng COVID-19, kaya patuloy ang… https://t.co/FgdEexOOSc",1
Tagal mo matapos covid gusto ko na umalis 🙂,-1
Irresponsible. Classless. Potential superspreaders. This motherfuckers will never learn until they get COVID within… https://t.co/DxPIkwsVev,-1
"To Mayor Magalong of Baguio.
Ang ganda na nga ng image ni Mayor to make Baguio before a Covid-free province pero ng… https://t.co/ey00Y5aG0R",-1
"Roque: To ensure the efficient distribution and administration of the COVID-19 vaccines, the IATF authorized the DI… https://t.co/vtJ3Hqo2S0",1
@seacargodick Wala man tusok na bawal na dahil covid hahaha,0
@darkmickey3 Wala na pala ngayon dahil covid haha,-1
"Thank you for this ... coz if they allow 10-14 yrs old to roam around while still covid 19 is uncontrollable, it wi… https://t.co/HqCDTDptDq",0
Additional Fact Checks on the COVID-19 Vaccines from our UP-PGH Bayanihan Groups 💉💉💉 https://t.co/t0U7yglRmA,0
Conducting flu vaccinations now can also improve vaccine acceptability among people who have some hesitation about… https://t.co/KwKgD4UCZr,1
Bat dina ka nalang maging proud sakin na nag titinda ako kahit ukay pa tinitinda ko panay ka covid panay ka covid p… https://t.co/YV7Am36EIw,-1
"@NEDAhq, @DOF_PH, Pres Duterte can bring down import duties, fees, red tape to pave way for smooth entry of Covid-1… https://t.co/MHH7I1GwBp",0
Di man lang kami nakapagluksa talaga ng maayos dahil mas inisip namin yang lecheng covid virus na yan!,-1
"EVEN IF YOU GET VACCINATED, you are still encouraged to WEAR A MASK and maintain SOCIAL DISTANCING. 

The vaccine d… https://t.co/1DexfTbXX9",0
Definitely after this pandemic and when the whole world is finally back to normal. My sis and I are going straight… https://t.co/n6Eszg7voE,1
Buti pa sila nakakapagbakasyon nang walang takot sa COVID,-1
@CCTVAsiaPacific Both countries stopped COVID.,1
negative tayo sa covid mga sismars tuloy ang gala char HAHAHA,1
Placebo are NOT totally harmless. The worst side effect is NO EFFECT  for the disease it is meant to prevent. Eg. D… https://t.co/czgydcsIOC,1
@MorissetteWard Love our weather malay mo dahil Sa weather natin kaya Hindi malala yung covid cases Sa Pilipinas. M… https://t.co/tUBEZv6o9p,1
Di pa nga ko nag S10. Dapat this yr naka S20 na ko hays covid pa.,-1
"Budol din tong tatay ni Kelly, COVID lang yan. 🤣

@whianwamos 

#LOMLParaSaAma",0
"Mukhang huling gala ko na yon ah, dumadami covid variant",-1
"Masks? During COVID-19 pandemic?
GROUNDBREAKING, Mr. President. https://t.co/iLyAMeN0UF",0
Namimiss ko yung weekly or every other week ko na paguwi. 🥲 Taena kaseng COVID to di pa matapos. 😡😠,-1
Imagine nandito na yung new variant covid. I’m pretty sure may local transmission na ito. Pero anong bago diba? Ina… https://t.co/2rvMRrWJYa,-1
this is what happens when you don’t close the country AS SOON AS NEWS OF A NEW VARIANT OF COVID-19 IS REPORTED https://t.co/VaQuzgT28b,0
"@nenzaralab @pearleyyyy Lahat kayo huhug ko pag wala na covid
 Tapos bubulungan ko kayo nyan. HAHAHAHA",1
Had the best vacation this weekend. And the best part is no COVID on the island. I haven’t taken a break since 2019… https://t.co/kk0kkl6qH2,1
@PhilippineStar Hindi naman siguro ginto ang pwet ng presidente! And may pwet din naman ang mamayan. I think wala n… https://t.co/MV8UdTYtfO,0
para di masakit na ang baba ng bayad na pinaghirapan ko para mabigyan yung mga nasa loob ng OFFICE lang na ni minsa… https://t.co/V6kVK0U97p,0
@reincrln @jamreiaamora @mhayeonnaise @josuamoraloyola @lirughhhbella ako na sa covid hahaha jk,1
My first was my first fubu. A childhood friend of mine. We're still fubu. But she's in the US now. Can't visit PH b… https://t.co/78rNTPgL3I,-1
Nakaka-praning pala talaga kapag nagkaroon ka ng close contact sa COVID postive ilang beses last week 😢,-1
Damn. I always read his articles in the NBA. NBA Family lost a great writer and reporter smh. Fuck COVID https://t.co/EE0ETiePJU,-1
Bat mataas naman sa antipolo ah 😂 Before covid nga ung mga jeep dun lumilipad at nagddrift eh 😂😂 https://t.co/X2EpKuhLhY,0
Tatay ng kakilala ko namatay dahil sa COVID 💔💔💔💔,-1
@orchellyyy Omg ung island kineme ba yaaaan??? Hahaahhaaha shet covid 🤣🤣,0
"PANAWAGAN

Kung sino man po ang nakakakilala sa kamag anak ni patient VICENTE MONTILLA PINOTE mangyari lamang pong… https://t.co/DEl1y0aAUn",0
"Tangina lumabas sa timeline ko. Tangina mo Tim Yap, pag nagka-covid kayong lahat sana 'wag na kayong asikasuhin at… https://t.co/Wa9hqeQeeo",-1
"(https://t.co/dRQ2crW1Xg) If you've been looking for more affordable options for COVID-19 swab testing, look no fur… https://t.co/3J3rVoygfn",0
"A year later, we reach 10,000 COVID-19 related deaths. 💔 https://t.co/VgvxHYkUc1",-1
"I got discriminated by a ""friend"" today because I was a Covid-19 positive/survivor

""Huwag muna tayo magkikita ah,… https://t.co/bGhr7dnYGd",-1
"Cainta allocated 150M from their 2019 savings for the COVID vaccines. Meanwhile, Taytay boasts of a 300M budget for… https://t.co/40C5tmOxlx",0
@JAYBUMAOM Can i just marry you when COVID is over? 🤗🤗🤗 #askjaypark @JAYBUMAOM,0
"From afar may nakita akong nalaglag sa doctor, then pagkakita ko 500 bill. Tapos si bakla more more marathon sa pag… https://t.co/nv0zl6Wf1i",0
Friendly neighborhood Spider-Man! Spreading good vibes and cheer wherever he goes even while shopping! Happy superh… https://t.co/hGxlxGUyrF,0
DOH reports 16 new cases of UK COVID-19 variant in PH https://t.co/cqsafVVpOd,-1
"We believe that campus journalism must continue amidst the COVID-19 pandemic. 

#CampusJournalism @ Quezon City, Ph… https://t.co/upCUbfBmFb",0
"Sino game ng beach camping ng weekdays this Feb?  Hindi matao, tayo-tayo lang! Iwas covid, may bonding pa tayo! DM… https://t.co/6TbT48y7u5",1
There’s evidence that face shields offer protection along with face masks but social distancing is most powerful in… https://t.co/mAoKCVaGtk,1
Dinidistract tayo dito sa socmed ng mga ibang bagay nitong mga nakaraang linggo para malihis atensiyon natin sa nap… https://t.co/Iy4zMVtLH8,-1
"COVID-19 SA PILIPINAS as of January 28, 2021 | via DOH 🇵🇭😷 https://t.co/uwmInYCCMC",0
"HINDE daw nakaka LUNAS  ang INFRA sa COVID.

SINO BANG NAGSABING ""00""
😂😂😂😂😂

ung BAKUNA ba MADADAANAN ng mga sasaky… https://t.co/6ueatVvoVF",0
"Dr. Fauci's recommendation comes in light of new strains of SARS-CoV-2, the coronavirus that causes COVID-19, that… https://t.co/jEjuyqYFeL",0
I think the vaccine will not protect you from COVID19 perse but rather it will protect you from the worst outcomes… https://t.co/cpgYhnERgl,0
"praying na ma decrease na yun cases nila. and im also thankful sa govt natin tho hndi perfect in some ways, nagagaw… https://t.co/ghoZhpby9B",-1
Putang ina dahil kabado ako sa serology nanaginip ako na nag positive ako sa covid. Gusto ko mag bakasyon pero ayok… https://t.co/cGd9M29Pxt,-1
"anu gusto mo palabasin na maaring dinadaya yun case report satin!!..

sa lang meaning nyan.we are better in handlin… https://t.co/OyKXWcMuDK",-1
@raissawriter dios ko naman isa lang meaning nyan maam. we are better in handling covid than them🙄,1
"If you are not part of the solution, you are part of the problem!

Register now to Valenzuela City's free COVID-19… https://t.co/yTjebQ7wfs",-1
"*Yung ayaw niya ng bakuna kontra COVID-19, pero ibang bakuna gusto...

🙉: https://t.co/IoZ468mW5M",0
"Registration Done for VCVax (Valenzuela City Vaccination Program) #BakunadongValenzuelano Laban sa Covid-19 

Let’s… https://t.co/2o3pZrSyJG",0
@rlnhrln @AeinjelRows set tayo!!! kapag di na mataas case ng covid at walang checkpoint,1
"Natupad nga wish ko hihi, negative for  covid 🥰",1
"kaya in favor tlga ako dito lalo nat 100 % sa severe covid base sa studies.. 

in terms of health i always go for s… https://t.co/QlJJTeRBNa",0
"Mayor Jerry Trenas representing The Iloilo City Government signed  (January 10,2021) Sunday evening a tripartite ag… https://t.co/LyIPsu2d0O",0
Online muna tayo mga kap para sa bayan at sa mga pamilya natin. Kita kits pag wala ng covid. Salamat po Señor Jesus… https://t.co/OS4tNUi96y,1
"the best feeling after an 8 hours shift in a covid unit : removing ppe's.
#newnormal https://t.co/mGUNeIZlMg",1
"Don't forget the Covid 19 ""Safety Protocols"" for us to still enjoy! See you tomorrow at @rosleespizza Grand Opening… https://t.co/KfTVHDFRBT",1
"Taena nitong COVID. Parang produkto, daming variants 😒 https://t.co/KksfO33xfr",-1
Congratulations Prof @cylpoon1  for a great lecture on Covid 19 and pregnancy! we learned a lot! #isuogat30 🥰 https://t.co/0A08dWsJTy,1
Covid lumayas ka na pls! Gusto ko pumunta sa Korea 🥺 https://t.co/hj2iof70Km,-1
"I miss my papay and mamay(grandparents) 😭💔

Di man lang makauwi ☹️ Longing for thier hugs and kisses 😔
Lord, please… https://t.co/irPaumHl6L",-1
covid to the highest https://t.co/U4LjfooF0P,0
Concern about the safety of COVID-19 vaccines  primary reason why most respondents showed a lack of interest in get… https://t.co/NYU6HKcogR,0
"Two major phenomena that I never thought in million years would happen in our lifetime:

1. COVID-19 Pandemic
2. Ma… https://t.co/CUAv7PYo4H",-1
And bribery reports like this ? Are we cleared on this matter ? Transparency is key. We are vaccinating huge number… https://t.co/jzzpO0MfXg,-1
"@idollyme Thanks Doll, thank God, healthy and safe from covid. Tho, economy wise, not so good but being safe from c… https://t.co/sKgtZW9m2m",1
"Yesterday’s 1,952 cases was the highest since December 18 when the country reported more than 2,000 cases.

https://t.co/eJrsbysZNz",0
"@jepotskie Kairita! Sarap ilaglag sa bundok ng mga ganyan hahahaha. Anyway, belated happy bday, Jepiii. Wish ko is… https://t.co/Pp9RrlN63r",1
Exactly. Hasn't anyone realized how this whole COVID situation works after 1 year? https://t.co/WyMdyKUL7J,-1
Di ko parin tanggap na di na perform ng @JYPETWICE yung fanfare sa Tokyo 2020 Olympics fak covid huhue.,-1
"when you miss her so much that all you can do is cry. 
FU Covid.",-1
"I think we need this, but with corruption issues in all aspect of COVID response, they will not buy since Koreans a… https://t.co/QdJOgEAU8L",-1
Sayang naman b CA na sana kaso nyetang covid tlga na yan,-1
"The BF is now on India and by Jan. 8, Filipinos and foreign travelers from the said country will be banned to enter… https://t.co/ntva0XwKfF",0
@gmanews Nakakahiya sa Hong Kong sila pa nakadetect na may new variant nang covid na ang pilipinas. Hanggat si Duqu… https://t.co/zvkueTCzKe,-1
@fyt_ph Nakakahiya sa Hong Kong sila pa nakadetect na may new variant nang covid na ang pilipinas. Hanggat si Duque… https://t.co/WmKmkuUmyK,-1
@gmanews Nakakahiya naman sa Hong Kong sila pa ang naka detect na may new variant na nang covid sa pilipinas. Pasok Duque!,-1
Parang nawala lahat ng pagod ko from Transport Nurse to Covid Facility Nurse na laging naka PPE at laging anxious n… https://t.co/YQvyt2ksiN,1
"12/12 close contact
12/18 fever
12/20 contact confirmed +
12/21 swab test
12/23 + for COVID-19 
12/25 self isolate… https://t.co/x8VlDjcaGE",-1
Yung mas takot pa sa bakuna kesa sa Covid 😂😅,1
"@cammenez Hahahaha!! Soon, pag yung covid pwede nang palayasin sa mundo 😂",1
Pano kayo nagkakalovelife eh may covid pano kayo nagdadate tsaka pano eut nyo?,-1
Is it safe for HIV positive patients (on ARV or not) to have the Covid vaccine? Any conditions before receiving it?,0
hopefully wala ng covid sa birthday ko 🤞🏻 asa ka self hahaha,1
COVID after vaccination 😵 https://t.co/9KZBFkkgAR,1
May mga lugar sa Pinas kala mo covid-free eh no 🤣🤦🏻‍♂️,1
Philippines signs deal to secure 30 million doses of COVID-19 vaccine Covovax: distributor https://t.co/f7yMRvMkNd,0
Pag umangat ang may Covid sa Maynila after the Quiapo fiesta ng Nazareno. Kasalanan ba ni Yorme Isko o ang mga debo… https://t.co/9xSwJGbQtF,0
@hobelarevalo Baka after covid na ito HAHAHA sadt,-1
Wala pong masama maging deboto. Faith nyo yan. Pero may covid pa po at may bagong variant. Di naten sure kung nakap… https://t.co/riNAhtRolS,-1
Woke up to estimated 20k people in Quiapo for Black Nazarene Fiesta despite the threat of covid.  #FaithOverFear,-1
"Sana wag namang pagkakitaan pa ng mga LGUS ang pagbili ng Covid vaccines , yung bang para lang nagpagawa ng tulay o… https://t.co/vOANOfe0vd",-1
WTF I LOOKED SO SEXY IN HERE BAT KASI MAY COVID SAYANG OUTFIT KO GRR https://t.co/JOPd95YU1H,-1
"No, I don't have Covid. Need ko lang to be able to visit my grandma in Baguio.",0
@gmanews So exempted talaga ang China? Ang bansa na pinagmulan ng pesteng COVID-19 na nagpahirap sa buong mundo! Mga putaragis kayo!!! 🤬🤬🤬,-1
Kung meron lng tear gas na ang ilalabas eh covid virus...ahahaha https://t.co/hY3uT9K9p1,-1
hindi paba matatapos tong putang covid na to 😩,-1
Larry King positibo sa COVID-19 @AbanteNews https://t.co/88RDMdbjLJ,0
pataas ng pataas yung cases ng covid sa lpc bat ganon,0
@_jtmesa baka covid reasons na naman yan si @IAmRaiAngelo,0
Sino ang susunod Sa yapak ng Pasig at Makati regarding Sa covid vaccine para Sa nasasakupan nila?,0
Mag iisang taon Na pala Hindi normal ang pamumuhay natin dahil Sa Covid 19,-1
Kudos to Australian clinicians behind the Pandemic Kindness Movement that aims to support the wellbeing of health w… https://t.co/ikUPEHjeuJ,1
Keep safe guys! May nag covid positive na kapitbahay namin. Buong family and helpers nila. Lockdown rin sa village namin.,1
"@SameeraKhan Aside from a great COVID response in western standards, I think she might be like other leaders in North America and Europe.",1
Gumagawa lang sila ng bagong pag-uusapan para mawala ang attention ng tao sa 15-B na ninakaw ng Philhealth. Yung pu… https://t.co/iQh3nTOclK,-1
"Hoy COVID, magtigil ka na. Tsk. https://t.co/OKZo90hhK6",-1
"Grabe na sakit ng likod ko. Before covid, every off ko nag papa-massage ako pero ngayon dehins na kasi deliks 😩",-1
A Covid warrior's friendly reminder 🙏💪 @ Presentation of the Child Jesus Parish https://t.co/tI5E9kboS5,1
"I can't believe that COVID has the potential of ruining my academic life. Even if face to face classes come soon, t… https://t.co/HVw91Q3L9S",-1
"If the LGUs were able to secure funds for COVID vaccine, what happened to the money of the national government na a… https://t.co/JJyO10zCUY",-1
may covid pala ako bat ako sumama kanina,-1
"After I diligently collected SB stickers, I just gave my planner to my mom dahil alam kong sisirain din naman ng CO… https://t.co/Tzd0GBQYVY",-1
covid: handa na ba kayo? 😳 https://t.co/3C3R9bCcpi,-1
"AY TANGA TALAGA!
EMBALSAMO DAW MUNA BAGO OTOPSIYA DAHIL SA BANTA NG COVID-19.
EH MGA SIRAULO ATA TO EH!
KUNG FEELIN… https://t.co/hCxF0oxfos",-1
"PUTA! BOBO BA KAYO?!
UUNAHIN NYO EMBALSAMO BAGO OTOPSIYA?! 
EDI MARAMI NAWALANG EBIDENSYA!! 
DAPAT PINAG ARALAN NYO… https://t.co/rNE1wYUKBK",-1
"Mas importante ang panlasa at pang-amoy kaysa magka-jowa ngayon..

May COVID 19 pa rin po..
May new variant pa.. 

Kalma lang po.",0
waiting-game AGAIN for covid results 🦠🔬🧬,0
Sa covid gud ko pinaka suko wala man lang naka proper farewell tour hahay,-1
COVID WHO? DI UUBRA SAKEN. https://t.co/NVG6vuWBYo,1
Gagu din ng ibang nasa office e. Makasisi sa nag-positive akala mo ginusto ng tao magkaroon sya ng COVID. Tangina n… https://t.co/v0eWTMMYhQ,-1
"Ama, salamat po sa COVID-19 negative na resulta... ❤️❤️❤️",1
"anong meron bakit ang daming tao sa bgc now, hello covid talaga char 🤣",1
ft wala pang covid 🙂 https://t.co/GZO8NsEsob,0
Expecting a surge of COVID-19 cases in weeks to come here in Metro Manila kay gipadayon ang Feast of Nazarene. 30k+ crowd!!! Ughhh,-1
5:21am Nag aasikaso na sana kame ngayon papuntang Quiapo para sa Pista ng itim na nazareno 😭 UMAY KASE NETONG COVID NA TO Eh,-1
"Seeing a number of CoViD related deaths again... nakakapraning 

🙏🏽🙏🏽🙏🏽🙏🏽",-1
So the London-based Bulgarian actor ex-date I met in Cologne who’s been posting criticisms of the lockdown in Londo… https://t.co/AWhfqTYORl,0
still trying to process of what just happened.... im heartbroken 💔  that i just lost a dear friend to Covid.... i w… https://t.co/g2HSRvqHvY,-1
I was about to go out today and chill somewhere tapos di ako pinayagan nila papa. Hahaha. Covid daw. Samantalang ka… https://t.co/JfRD7thmT2,-1
"Aaaaaaa Tigilan na natin pagiging negative. Napaka aga pa, CHRISTINA! How would you like donating for the Ph Covid-… https://t.co/8z0ltjUxGK",-1
"Much better siguro kung thru email nalang, sent by the hosp. or center who conducted the covid-19 test results. Hmm… https://t.co/Yi0H8E7ufr",0
"covid got us, again? 🙃",-1
"Hope this will encourage others to avail insurance because we don't know when we will need it. 

If you need help t… https://t.co/EEu2RZ8wrM",1
Di ba may covid pa? Eto talaga? #wokesplaybook https://t.co/L6HyTFwNw4,-1
"While several LGUs are signing deals with Pfizer and AstraZeneca, the national government sealed the deal for 25M d… https://t.co/n9wNqqdb03",0
"Ang kulit ng pag iisip ko, isipin mo mo, isa sa Kanila na nanalangin jan sa prosesyon ""Lord sana po pagalingen nyo… https://t.co/8Gus0hyXHH",-1
Nakakaloka yung mga nag sasabi na di nman daw totoo yung covid 🤦,-1
"Thank you for making this happen 🦋
@mymakati  Abby Binay 🙏
Lord thank you and totally heal our land 🌍… https://t.co/Qh3bmyMIwU",1
Parang walang covid 🥴 https://t.co/gd2h9XnLW5,-1
"wala, miss ko na gtrends haksksk
gusto ko na gumala pakyu ka covid",-1
Sana by May wala ng covid 😑😑😑 https://t.co/7NEw4y3jz5,-1
"""Okay lang siguro pumunta sa Quiapo, kaunti lang malamang tao since may Covid.""

...kaso lahat ng tao ganyan inisp",-1
"@notsoyammy asks for healing *
gets covid instead *
pota paka bobo kairita ugh",-1
"Naexcite ako pra kay mama. Tuturukan daw sya today ng COVID 19 Vaccine which is Pfizer.  Lord, thank you! Di mo kmi pinapabayaan. ❤",1
Covid pls alis kana😭gusto kona umuwi province,-1
"Kung may oras kayo, please watch #TheChiefs...
Takot ba kayo sa bagong Covid variant? Kailangan nyo madinig ang mga… https://t.co/VVMOyhgZxD",0
"ONE BALITA PILIPINAS | Enero 8,  2021
Narito na ang maiinit na balita:
Mga kaibigan ni Christine Dacera, pinasinung… https://t.co/hMgkNxkS7c",0
#NewYear2021 is another opportunity to spread superhero fun and cheer at the neighborhood! Bringing heroic good vib… https://t.co/sRD5PpSWCH,1
@dannie_cuevas G. mas konti din covid dun kesa d2! 😂,1
A final goodbye to #Christmas2020 and hello to #NewYear2021 #Spidey style! Happy Thursday at @thepodiummall!… https://t.co/9TDBJkfqDf,1
"because Australian government handled Covid so well, and they be like last NYE, ""Bye, Miss Rona!"" https://t.co/0wZXb3n4j9",1
"The best thing about being a #Spidey is that even without powers, you can spread joy to everyone! Another mission a… https://t.co/VsYQSJ5r7g",1
"How to start the #NewYear2021 right at @thepodiummall? By having outdoor impromptu pictorials, of course! Happy &amp; e… https://t.co/h3gLPMnT08",1
Ngayon ko naramdaman yung pakiramdam nung mga pamilyang nag karoon ng COVID patient. Sa loob ng hospital makikita m… https://t.co/L6Nop8MUSc,-1
@notthegreatkhan Funny how the words hugas and iwas appear as well. Hindi lang sya applicable sa COVID. Pero pati s… https://t.co/L7bhIWZkeq,0
https://t.co/IAkfLjlvlg @inquirerdotnet,0
https://t.co/ucu6sdaxhC @inquirerdotnet,0
Bakit yung COVID vaccines nagiging per LGU hindi ba to dapat initiative ng national government.,-1
Naol covid-free HAHAHAHAHA,1
@kikorustia Thank u for clarifying and for keeping your followers informed. If this case is confirmed to be the new… https://t.co/xwNyxpF7vu,1
tagal mawala ng covid. excited nako marinig WAP ni cardi b sa blackmarket,-1
"World War Z Prequel!

Seriously, though, really hope these things work. For covid and all the others.
https://t.co/RIG9CbYPli",1
Good choice for a covid vaccine https://t.co/YAqXvqA022,1
Sabi ni mami di raw siya magpapa turok ng covid vaccine. Di naman sa pagiging suicidal pero i think it has somethin… https://t.co/gcO5VjyoJ4,-1
"Yey! Dalawa nalang active cases sa Santolan 😊 Thank you Lord, sana tuluyan na po gumaling ang lahat ng nagka covid… https://t.co/k34CJgiIV4",1
"Hindi na keri ng pasta kaya nagproceed na to root canal huhu.

Kaya guys dalaw na sa dentist hangga't kaya pa (with… https://t.co/RNqLbSDXHB",0
What's your biggest achievement so far? — Recovered from COVID-19.  https://t.co/6GbIfezaYR,1
"@AkocyekErick ngayong year lang ako di nakapunta dun iwas Covid, bukas na lang cguro",0
RT @afdomingosss: e hoje que morreram 95 por covid-19 mas ainda há pessoas que dizem “suposta pandemia”,0
RT @afdomingosss: e hoje que morreram 95 por covid-19 mas ainda há pessoas que dizem “suposta pandemia”,0
e hoje que morreram 95 por covid-19 mas ainda há pessoas que dizem “suposta pandemia”,0
"Are we doomed to repeat or surpass the worst COVID affliction in PH?

The Church shd have stopped the event for rea… https://t.co/jNIgCWsz6m",-1
